Location,Tweet,Positivity
iris,wait i have an opinion to tweet but no one will take me seriously lmfao,-0.3333333333333333
None,"RT @JustinGrome: oh, i'm sorry... i forgot. i only exist when you need something",-0.25
None,RT @callmedollar: And we desperately need to see you give Missy Elliott her rightfully deserved Michael Jackson Video Vanguard Award. https ,-0.6
Philippines,I still hate my life  ,-0.8
Lkim's  ,RT @ifntinsoul: i stan a bunch of little kids #TeamINFINITE #TwitterBestFandom   https://t.co/Uwv2c2KKsO,-0.1875
"Philadelphia, PA",Because @nflcommish is a piece of shit https://t.co/zyHztfdysL,-0.2
               @hirainiste ,"RT @EXOGlobal: [FANCAM] 180128 D.O.  For Life  @ ElyXiOn in Saitama Day 2
Cr. love_for_D

#TwitterBestFandom  #TeamEXO #SoompiAwards  @wear ",-0.75
"Los Angeles, CA",I hate twitters rule that you can t tweet the same thing twice bish let me do what I need to do #TwitterBestFandom #TeamSeventeen,-0.4
Essex,"RT @chasethestorm: at -30C &amp; a touch of frostnip it all falls into place &amp; the discomfort goes away for a few minutes. 22.1.18 #Norway, #Ar ",-0.2
None,"RT @WingsScotland: ""I abhor prejudice or hate in all its forms"", says man abusing someone while highlighting his colour and age, and who's ",-0.8
"La Rochelle, France",RT @elonmusk: The rumor that I m secretly creating a zombie apocalypse to generate demand for flamethrowers is completely false,-0.4
Speed Force  ,Damn girl i know you hate me so much.,-0.30000000000000004
Biafra ,"RT @benmurraybruce: Use that time, energy and money to monitor killer herdsmen and not Nigerians whose social media  hate speech  brought y ",-0.38333333333333336
"Coventry, England","Fuck me, the #facebook UI/UX is such a complete bastard trainwreck.",-0.10000000000000002
          ,Dumbest shit I've seen but the funniest https://t.co/pNJQITyh2k,-0.2
None,"Sleep is for the weak!

....or for the people who can actually stay asleep for more than a few hours",-0.0421875
"PTA/PLK, South Africa",RT @rumibey: They gave Beyonc  a standing ovation just for being in the room. Legend shit only  https://t.co/0gp3EYV2Kw,-0.1
"Batu Pahat, Johor","If u wanna play, okay let s play the game, see sejauh mana lakonan tu boleh bertahan. Game on",-0.10000000000000002
"Essex, UK","RT @BootstrapCook: next person who tells me i'd be less ill if I just ate meat, i'm gonna assume they volunteer as tribute",-0.2222222222222222
FL. // FC PARK HYEMIN.," I put your fullname in my contact 

Tf- my name is long.",-0.05
UNITED KINGDOM ,"RT @P_G_Thompson: Corbyn just told #Marr he left Iran's propaganda arm Press TV because of their stance on ""green issues."" He did not leave ",-0.10000000000000002
None,"RT @inksoomissedit: [PREVIEW] 180128 The E yXiOn Japan Day 2 Saitama

  lgrace0510 
 #   #DO (D.O.) #Kyungsoo #TwitterBestFandom  #TeamEXO ",-0.75
None,"RT @FeelingsBible: let go

it is impossible
for a heart to breathe
in an atmosphere
where the air
is no longer
being provided",-0.6666666666666666
nct dream's jeno  ,"RT @mfaIyuta: jeno: [on ellen]
ellen: so i heard that you gave up your lost boyfriend jaemin to get closer to renjun?
jeno: haha yeah
ellen ",-0.275
Port Arthur Tx,RT @souljaivan: iphone users: why tf my phone randomly vibrate for no reason at all?!?! making me think i m actually important to somebody. ,-0.190625
"London, England","RT @StrongerStabler: In the blue corner, representing Leaving the EU with a Hard Brexit we have three Tories (Natalie Evans, Jacob Rees-Mog ",-0.14583333333333334
"Uithoorn, Nederland",RT @kirstin: oh don t mind me just falling down the YouTube vortex even though I MUST SLEEP SOON,-0.15555555555555559
Chicago,@Luckoflucienne @rickyhayward @SpursInTheBlood Then you're just a selfish prat,-0.5
"Raleigh, NC","There's only 4 things open at this time... Jail, Hospital, Waffle House and Legs  https://t.co/UIfGryiiwB",-0.03333333333333333
None,RT @araselys_harris: not to be dramatic or anything but i would die for James and Alyssa  #TheEndofTheFxxxingWorld https://t.co/3fa48ADz2v,-0.4333333333333333
"Wiltshire, UK","RT @qikipedia: Instead of a Foreign Office, the Roman Empire had a ""Bureau of Barbarians"".",-0.125
None,"RT @btsvotingteam: [ REPLY CHALLENGE ]

Let's aim for 3,000 replies 

Can u make it before 3 minutes?

The faster we can do it, much better ",-0.125
Coimbatore,"RT @OMGFacts: Politics is a dangerous game, even for primates. by @IlanaAbby https://t.co/kMn6vKxUI5",-0.5
Madrid,RT @tim_fargo: It's hard for me to answer a question from someone who really doesn't care about the answer. - Charles Grodin #quote https:/ ,-0.04583333333333334
home of challenge pissing,where ddo i pay to not get very strange nightmares involvinmg [syringes],-0.065
    ,"RT @pinkkangvn: [ENGTRANS] Naver: Kang Daniel   a celebrity in other celebrities  hearts

-----
Source https://t.co/vtAR38VUc4
Pic lovestru ",-0.4375
"Durban, South Africa","RT @LowKei_: Bey: I hate my twins.

Mariah: OMG bitch, me too!!! https://t.co/RlnGDS850E",-1.0
None,oh pls god i tho it s was me but i m wrong,-0.5
None,RT @ports: i never stopped missing you,-0.2
None,A typical Sunday https://t.co/pbYL3CAm6l,-0.16666666666666666
None,RT @ports: i never stopped missing you,-0.2
None,RT @officialachey: Bukan taknak enjoy gila gila tapi bila terlampau happy I'll get afraid something bad will happen afterwards  ,-0.02499999999999991
None,"RT @sugaplustae: AND YES IM A MESS
#TwitterBestFandom  #TeamBTS #SoompiAwards  @BTS_twt",-0.175
ig; Musyyaaaaa,"RT @gentle:  : friends come and go, and i m sorry if the journey in between is painful - please keep going, because it does get better",-0.125
None,"RT @irunmj: I'm gonna make a thread of songs I listened to lately. Ha!

#TwitterBestFandom #TeamBTOB",-0.375
I dono where but I'm on my way,RT @CancerTerms: #Cancers are CRAZY people Crazy in a good way!,-0.10833333333333332
None,"RT @ThembaRumbu: Share Everyone, a coworker of mine. Her  little glittery phone case got a small crack in it at work while in her front poc ",-0.21875
None,"RT @mingyuhuhu: Kinda disappointed the new album isn t called Repack, Age but i guess it s ok",-0.03787878787878788
None,"#dating #onlinedating #singles happysabrina from Date a Single happysabrina, Woman from Rees, 26 years  https://t.co/L4oXMZckZc",-0.07142857142857142
None,RT @harleivy: angelina jolie looked like THIS at 17 years old. i need to lie down for several minutes https://t.co/mpjDTd3agp,-0.018518518518518528
soul society,RT @TalkWithTonte: Chris Rock said people in Britain do weird stuff like watch darts like it's a basketball game. Man asked who's the Lebro ,-0.45
"Mandaue City, Central Visayas",1st dinner that I'm not full #diet   ,-0.175
"Lahore, Pakistan",WHAT A MATCH HOLYYY SHIT,-0.2
None,RT @TrollFootball: Two and a half Men ... https://t.co/RkfQYhOWWT,-0.16666666666666666
None,@DiamondandSilk I think Eminem has lost some of his edge and fears becoming irrelevant and he needs to grow up. Tru  https://t.co/Ac1i3wHvnF,-0.024999999999999994
None,RT @_swagg_suave: Shit lob me 200 then since u got it like that https://t.co/J6n1UiXrTv,-0.2
"Victoria, Australia.",After 20 years of trying... I finally have time to sit down with #Carol. Fill my soul Cate!,-0.09722222222222224
None,"RT @aida_service: Guys, recently we had a presentation of the service AIDA in cold capital of Kazakhstan. Read more about it.  https://t.co ",-0.033333333333333326
None,"RT @90SClNEMA: imagine thinking being 17 is a  child  and then being 18 is an  adult ,, sis wake up u think a few months is gonna dramatica ",-0.05
None,"RT @fwong: I have become trapped in my hotel room, apparently. https://t.co/ipv7RcNMDP",-0.07500000000000001
None,I ve waited so long for GOT7 GOT7 #TeamGOT7 #TwitterBestFandom,-0.05
None,RT @DAaronovitch: The news from Kabul is almost unbearable. Nearly a hundred ordinary Afghans murdered by the Taliban.,-0.075
"Peka, LS | Pretoria, SA","@TsikiMabala It was my classmates, I didn t get involved in that mess  ",-0.175
None,RT @RegisAndanar: I hate accidentally opening IG stories of people I m not interested in kasi baka isipin nila na that I care about their l ,-0.4625
Egypt,RT @kjininihae: A FEW MINUTES LEFT. WHERE ARE EXO LS. LET S JUST CLOSE THE GAP. PLEASE VOTE NOW. SPAM THE COMMENT SECTIONS OF EVERY EXO REL ,-0.1
Mathapisa village GaMarishane,"RT @blak_terrorist: Just incase you fucking missed it, @NalediChirwa serving you some hot tea. Yet Blacks rally behind a national male team ",-0.1875
None,"RT @vantaekim: jimin

""my younger cousin is my fan. so my mom told them that if they study hard, she will give them a CD and let them talk ",-0.14583333333333334
None,@Steallan85 @SteLangtree @ScottMadz23 @danmaccy We'll see  ano u too well give this talk pal  few shots together me and u,-0.2
    ,RT @milkteu: i m just feel so.... sad and upset right now. sehun s expression when he did his ending ment... he said he already knew what t ,-0.10714285714285715
grayson's lane      ,Omg im crying omg omg omg grayon https://t.co/iTPyiXIeiT,-0.2
#ROADIE             ,RT @RoadTripTV: Is there ever a bad time for pasta?     Mikey,-0.6999999999999998
newcastle//chester ,Never known anything as slow as the service in mcdonalds here all a want is some fucking cheddar melts,-0.45
None,I think too much and I hate it.,-0.30000000000000004
#OXIDEFAMS,"RT @BLACKPINKGLOBAL: [ blackpinkofficial ] 

#BLACKPINK #ROS  #LISA #BLINKS #STAYWARM #MISSUBLINKS #ATTHEBLACKPINKHOUSE

We hope our Blinks ",-0.75
None,@dini_bharadwaj I haven't done youuu yet!! Sorry. I will go through all my undone's right now!,-0.07142857142857145
"London, England","@ShisohFine @GeminiSaid Sweaaaar, who you going to watch? Brunel is like our little brother haha. I might roll  . Thats so weird",-0.1625
None,"RT @t_thulium: A Japanese police officer insists ""giving the finger to approved legal demo is also hate"" in racists' march at #Shinjuku, #T ",-0.20000000000000004
Singapore,Why is it that the @ShaneFilan concert has sold out in Singapore long before I could get any tickets?   If anyone h  https://t.co/vzy2jeLPzE,-0.05
 : LifeWithSelGNews@gmail.com,Rolling Stone has listed critically acclaimed  Bad Liar  by Selena Gomez as one of the songs robbed of a nomination  https://t.co/Md0bSg9afu,-0.3499999999999999
None,"RT @MHChehade: A club the size of Liverpool bringing on Milner, Ings and Henderson to save a game. That's enough football for today.",-0.2
trash can,"RT @rappingtae: bts: [won a daesang in the artist of the year, song of the year, album of the year categories] https://t.co/oeZmlSnESs",-0.75
"Guayaquil, Ecuador","RT @btsvotingteam: [ REPLY CHALLENGE ]

Let's aim for 7,000 replies 

Can u make it before 7 minutes?

The faster we can do it, much better ",-0.125
"Jamshedpur, India",RT @elonmusk: The rumor that I m secretly creating a zombie apocalypse to generate demand for flamethrowers is completely false,-0.4
None,"RT @Ticklemelili: So I m @ the bank waiting in line &amp; the guy in front of me is spitting game to the teller, she s laughing &amp; he s attracti ",-0.4
None,Ngl i almost cried when Gon almost died fighting Pituo and Killua started crying,-0.2
None,"RT @Mel_it_hing: The 'Trouble"" meme

SERIOUSLY THE FIRST TIME I SAW THIS IT SHOCKED ME AND THEN I COULDN""T STOP LAUGHING. https://t.co/V530 ",-0.24583333333333332
.....,"RT @BillionTwiTs: The Bible says in the book of Matthew 7:13 ""...for wide is the gate, and broad is the way, that leadeth to hell"" https:// ",-0.018750000000000003
"New Orleans, LA","RT @SangsterThomas: Sorry for never tweeting about anything, but thats just me. I do care about Maze Runner a lot so I thought I would come ",-0.5
