Location,Tweet,Positivity
None,That sounds very plausible! https://t.co/IH0HRb8UD4,0.8125
None,"@bIadefell the tight hold of him made her lips give a small smile; how rare to see.

her right hand restes onto his  https://t.co/qU4D0EXrE7",0.09142857142857141
On the Moon;),RT @700MIKE: Clean thoughts make for a clean heart.,0.3666666666666667
UK,@BPTC_Lecturer A) this would be weird and gross even if you didn't make tasty food but b) you're clearly the best a  https://t.co/p1DSA9VZey,0.15000000000000002
"London, England",@inmariu Hey you!    I'm giving a webinar on the growth hacks I think will be powerful in 2018. If you're free this  https://t.co/mHVPUv50Yb,0.35
None,I see u hun have a beautiful sungay   @alexander_olly,0.85
MARS!,i swear jjk nickname is the longest nickname but it's cute.,0.5
Oxford,We love you @MesutOzil1088    https://t.co/7rrXrYw1tM,0.5
"Perth, Western Australia","Incredible video shows 1,500 construction workers building a railway station in China. The project took less than 9  https://t.co/IWi8i3VvvA",0.3666666666666667
Chillin :),RT @daman_singh_: I m just trying to show you love,0.5
Etats-Unis,"RT @TheGeekyNerd_: @HorrorGuerrero and I go way back, now she s famous and I have her autograph     Thanks Gigi!! #Feliznavidog #Luchagore ",0.2708333333333333
"city, winner ",K-ICs and G-ICs who understand korean are having fun with minhoon and also jhonny. how jealous i'm bc it looks so f  https://t.co/JwZnFSxetJ,0.3
Thailand,RT @ic_viri: I miss winner so much. https://t.co/XF9MnkTWWS,0.2
CyberSpace,google-news|Trump s first State of the Union: Can a divisive president flip the script?|https://t.co/MYg4nObwka https://t.co/1ANmWE6w0f,0.25
"Los Ba os, Laguna, Philippines","RT @__jiminism: I LOVE YOU JIMIN

#BestFanArmy #iHeartAwards #BTSARMY @BTS_twt https://t.co/ibC0tl8oae",0.5
"England, United Kingdom","RT @dolanouterspace: In 1996 in the UK, a guy shot and killed 16 children and a teacher. After that, so many people worked together to quic ",0.15
None,RT @LuViiC93: My beautiful mum who was a proud Gooner and lifelong supporter sadly lost her long battle with breast cancer today. She was t ,0.19999999999999996
None,"RT @asemota: We would argue about football, chase girls... do everything normally but he would once in a while remove this book from his ba ",0.15
None,dreams are a special pardon  #TeamBTS #TwitterBestFandom #SoompiAwards  @BTS_twt,0.35714285714285715
Sarajevo,"RT @BBCSport: Federer really wants this. 

He's stormed ahead in the fourth set with a 2-0 advantage. Only four games away from   https://t ",0.06666666666666667
"Magicland Alberta, Canada","I miss the good old days where if someone was humble bragging their dick off, you could just fake a stomach cramp a  https://t.co/T8PqhOcIRj",0.024999999999999967
"Seaford, East Sussex",@Moonstone1812 @tes I hope that isn't how it came across. I did explain it has to happen after pupils have really l  https://t.co/2oRWRJTKwB,0.2
"San Angelo, Texas","RT @CoachMotto: Discipline helps you finish a job, and finishing is what separates excellent work from average work.   Pat Summitt",0.425
None,Sexy Charlotte Cross  fucks a horny neighbor https://t.co/GqgCw8Km2j,0.25
Fukislam Nation,"Lol your a joke, not even the funny one too",0.525
Cumbria,"I completed a puzzle in One Clue Crossword. Play now for free!
https://t.co/yRGgXuwX8y #OneClueCrossword https://t.co/juOfMqKQ3J",0.5
United Kingdom,Tasty banana pancakes for a filling breakfast #yum #breakfast #pancakes #banana #recipes #delicious https://t.co/kMTfFICBrz,1.0
None,RT @dailydosedeen: Never wait until tomorrow to do a good deed. Are you really guaranteed to wake up the next day or live for the next minu ,0.20727272727272722
"Greystones, Ireland","@CiaraCobb Yeah, 'kinda like it' is a good description. They have a little recap, so just jump in. It's not exactly...complicated?  ",0.25625
Michigan State,"RT @imtypiical: NEW SINGLE OUT NOW     
Click a link below &amp; enjoy the sound   

Apple Music : https://t.co/quml80OjF2
Google play : https: ",0.21623376623376625
Indonesia,I'm proud to be ARMY @soompi  #TwitterBestFandom #TeamBTS https://t.co/SQfGHGMYaQ,0.8
Singapore,RT @finnyonastick: This is the kind of fight I live to see    https://t.co/7BHmIxIJB0,0.36818181818181817
"San Francisco, CA",RT @justinsuntron: Mico is one of the largest social platform in Southeast Asia and the Middle East with 100 million users. The cooperation ,0.016666666666666666
"Maenza, Lazio",RT @IGGYAZALEA: For today s countdown to #savior I thought I d share a BTS shot from the lyric video! Don t forget to stream the video Feb ,0.3125
None,RT @seanhannity: I just want to take a moment and thank my twitter friends for all of your support in the last 22 hours. It means more to m ,0.25
None,RT @KaylaPoz: Did I mention I love my roommates &amp; friends because I 100% do,0.5
None,RT @exolovefvr1485: i'd love that L-1485 #TwitterBestFandom #TeamEXO #SoompiAwards @weareoneEXO,0.5
Searching places...,"RT @imtypiical: NEW SINGLE OUT NOW     
Click a link below &amp; enjoy the sound   

Apple Music : https://t.co/quml80OjF2
Google play : https: ",0.21623376623376625
Australia,"@lachimusic Thanks for the follow! If you're interested in collaborating with a new producer, let me know!  ",0.22348484848484848
"Cambridge, UK","@CarbonisedPleb I agree.  A 2ndRef seems the only antidote to the poison spread by the first.  Without it, it is wr  https://t.co/RAJ8DawDuG",0.125
0x62992719c0588d184d0490636476b25d0c3662cb,"RT @kucoincom: #carVertical (cV) lists on KuCoin #giveaway: Follow and Retweet to win 12 ETH
Follow @kucoincom ,retweet this competition tw ",0.8
"Leeds, England",Looking to find the perfect property in Leeds?  Then check out @S_Weatherall  Leeds for a professional apporoach  https://t.co/Kbf0CqYyFF,0.55
London,RT @TheSTMagazine: Tough Love:  I m worried my sexual inexperience will be a turn off  @EmmaBarnett gives sex tips to a nervous young woman ,0.17777777777777778
Venezuela,"RT @AustralianOpen: One set away from 2 0 

@rogerfederer puts on a masterclass of serving to win 6-3.

#AusOpen https://t.co/q58ptgH9mx",0.8
SK ,"RT @BobOngHugots: It's not the song that makes me cry, but it's the person that first comes into my mind everytime I hear it playing.",0.25
"Seattle, WA",RT @Tia_Afoa: Watching a movie with me lmao https://t.co/pjbPvTOJj5,0.6
None,I liked a @YouTube video https://t.co/M4tAlmMgR3 What the first day of College or University be like,0.425
None,But you're the best that i've been through~ #TwitterBestFandom #TeamEXO #SoompiAwards @weareoneEXO L-1485,1.0
None,RT @afireselu: Sehun TTTTTTTTTTT no please. You don't deserve those fans who were after your body. There are more fans out there who apprec ,0.5
None,"RT @CassiniSaturn: On this #SaturnSaturday, let your imagination roam--download our free e-Book, The Saturn System Through the Eyes of Cass ",0.4
United Kingdom,"RT @EveryCanCounts: Whether you've had friends round or had a cosy night in, make sure to recycle your drink cans! https://t.co/Y4URv3BAO2",0.2125
"Paris, France",RT @XTeleela: Good morning hunnys I'm feeling awful day in bed for me who'd love to be in my bed all day  ,0.06666666666666665
 London ,"Wholeheartedly agree with this political graffiti, there is a lot more they could have written about Churchill &amp; hi  https://t.co/4loEoNroK9",0.25
"Willmar, MN", Is this movie 3-D Bc I cant see straight - @CamiLeeSletta,0.2
Jung Hoseok's heart bitxch,"RT @choi_bts2: @BigHitEnt Trans) [news] #BangShiHyuk won  Culture Grand prize  by media company, Edaily. He said as an acceptance speech,   ",0.5
LaLaLand ,@J_Dub23_1 Haha yeah I haven t but my thing is have a go leave it for a generation then maybe come back in the next  https://t.co/zgn06adj6G,0.06666666666666667
"Kolkata, India","RT @pratyasharath: Overheard in the theatre-- 
Feminist 1-- Hey, super woke Ma'am Bhaskar has said that Padmavati should be made in the con ",0.3333333333333333
Playing Theathrythm  ,"RT @LolitaWardrobe:  Ancient Egyptian Cat God - Bastet  Lolita JSK Version I #Leftovers

  Quick Delivery To Worldwide &gt;&gt;&gt; https://t.co/FZU ",0.3333333333333333
germany,"RT @choi_bts2: I love this interview article, there are some good questions and one of them is as below. 

Question : Do you have your favo ",0.6
    ot7,"RT @vantaekim:  i saw bangtan jungkook in a new light. the other idols left the snacks they ate and water bottles they drank out of, all on ",0.1028409090909091
Leeds,RT @megraw98: Do ya ever just think u couldn t get any uglier then see urself in a club photo completely smashed,0.1
None," I was so upset, I forgot to be happy.    Eeyore",0.8
Pretoria,"RT @KwesePlayground: #KwesePlay knows that there is nothing quite as
spectacular as a bowl of buttery popcorn shared with family. With 100+ ",0.6
"Ho Chi Minh, Vietnam","RT @SiwonLover:  too hyped to have a good shot  @siwonchoi , we never have enuf time to see u. Come to SG again, OK        https://t.co/QbA ",0.6
"Stj rdal, Norge","RT @HLNinEngeland: Eden Hazard linked with Man City:

   are Chelsea willing to sell their best player to a direct rival?
   does loyal man ",0.42083333333333334
"Sydney, New South Wales",RT @dailybailey10: A quarter of a century with #ten but still stupidly excited about tonight @theprojecttv @ImACelebrityAU #proudaspunch I  ,0.1875
None,"RT @naegahowoo: REMEMBER WHEN...

oh great I forgot what I'm gonna say.

#TwitterBestFandom 
#TeamSeventeen https://t.co/9SPvrJVxdN",0.8
None,this is the latest I ve slept all week cause I binged watch @Ceraadi on YouTube &amp; ig    dont even wanna sleep cause  https://t.co/3K7knf0vLo,0.5
Sunderland,RT @abigailarriana: av got this talent for worrying aboot cunts a shouldny be worried aboot and it's becoming nuhin short of a fuckin incon ,0.225
Nairobi Kenya,RT @goal: A certain iconic goalkeeper turns 40 today! https://t.co/mNoN0LQjCf,0.41964285714285715
"France, South of Paris","RT @fleroy1974: ""perpetuating the myth that all meat is the same means that the potential benefits of responsibly raised meat never get a s ",0.06666666666666667
