Location,Tweet
The Amazon River,I Only Tell The Thruth When Im Drunk..           ,-0.25
None,#ElyXiOnInSG #ElyxionInSingapore HELLO! I just got myself a ticket for cat 1 section 226! Is there anyone who s goi  https://t.co/xcxAvII4tw,0.0
None,Take a break!!! Relax with your family I'm begging you!! Even just for a week!! #TwitterBestFandom #TeamVIXX #SoompiAwards,0.0
None,RT @ShawnMendes: It was supposed to be  xx  lol https://t.co/Vomtvfm7QK,0.8
"Chandigarh, India",@NishBrunel @Prabhasini23 @fanofPrabha @Mahezabeen @mansivgandhi13 @Moni210982 @notnow6710 @Renu_258 @jaytweets16  https://t.co/GF38t5ceVQ,0.0
"toledo, oh",Sit down on a stump,-0.15555555555555559
"Arkansas, USA",Who wins when we send the Dems packing? The AMERICAN PEOPLE! I have one honest question for @realDonaldTrump &gt;&gt;&gt;Did  https://t.co/F6qocWjby2,0.3
"Nairobi, Kenya",RT @doufa__: We re really just avoiding giving you our number https://t.co/WFbeDyraeY,0.2
"Watauga, TX",RT @yowulf: I don t know who he is but I know my friends like him https://t.co/NSE9A1rV8A,0.0
Robot Disco,I love U I love U love TECH-MUSIC I love U I love U love this MUSIC you are nervous miracle Super Speeder   super speeder J #capsule  #ystk,0.45833333333333337
"Belfast, Northern Ireland",RT @zuroph: I moved into this house in 2008. It always annoyed me that the lower level of the dishwasher wasn t tall enough to fit my bigge ,0.0
None,I am entered in the @supermacbrother &amp; Black Suns Org Banu Merchantman giveaway | enter here: https://t.co/0eKdAlPHX8 #starcitizen #redacted,-0.16666666666666666
None,Up soon a world class panel of gibberers - @TheRealBozza @AlastairBaxter3 @ThatJimmySmith @StuartClark6 Could be an  https://t.co/itn4HDuMrQ,0.0
None,okay goodnight i love boba the most //especially okinawa milk tea 80% less sweet with mini boba and less ice//,0.2527777777777777
"Valea Ia ului, Rom nia",RT @UnicornGo_2018: Meet a new cryptogame - UnicornGo! Here you ll find plots of land and cool things like coins (which can be exchanged fo ,0.2602272727272727
second star to the right  ,"RT @pottermore: @HarryPotterFilm We certainly wouldn't! Thanks for joining us everyone, for what was definitely not a quiet year at Hogwart ",0.15595238095238095
Love Bts,"RT @ArmyBrigade13: Good morning, day, evening, night ARMY  
How are you all ?
We have a few hours to go.
Who is Voting with us right now ? ",0.26190476190476186
None,"@steve_steglitz Lol. So not only are you dumb as fuck, you're also a coward. Makes sense. #runandhidebitchboy",0.0062500000000000056
New Zealand,RT @Wetwinners: I nominate the @MerrellTwins for favorite viral music artist #KCA2018 #KCANominees because they are just perfect!          ,0.75
East Side ,I'm fit for this single shit,0.04285714285714287
Texas,RT @idnam_: New Jeffree Star is a must cop,0.13636363636363635
